r_time:11:03:41 20.08.2022 | Trade:069 | pos:1 | len:73 | approx_cum_ret:-14.94% | trade_ret:0.06% | eps:0.0010 | t_time:2010-08-18 15:30:00-04:00 | idx:12317
r_time:11:04:23 20.08.2022 | Trade:070 | pos:-1 | len:6 | approx_cum_ret:-14.85% | trade_ret:0.09% | eps:0.0010 | t_time:2010-08-19 09:35:00-04:00 | idx:12324
----saving weights, trade logs and replay buffer-----
r_time:17:23:39 20.08.2022 | Trade:071 | pos:1 | len:3671 | approx_cum_ret:-6.04% | trade_ret:8.81% | eps:0.0010 | t_time:2010-10-26 10:05:00-04:00 | idx:15996
r_time:22:33:27 20.08.2022 | Trade:072 | pos:1 | len:2988 | approx_cum_ret:-0.12% | trade_ret:5.92% | eps:0.0010 | t_time:2010-12-20 15:10:00-05:00 | idx:18985
r_time:01:56:03 21.08.2022 | Trade:073 | pos:1 | len:1979 | approx_cum_ret:4.03% | trade_ret:4.15% | eps:0.0010 | t_time:2011-01-27 11:10:00-05:00 | idx:20965
r_time:06:18:06 21.08.2022 | Trade:074 | pos:1 | len:2557 | approx_cum_ret:2.82% | trade_ret:-1.21% | eps:0.0010 | t_time:2011-03-16 09:50:00-04:00 | idx:23523
r_time:06:20:47 21.08.2022 | Trade:075 | pos:-1 | len:26 | approx_cum_ret:3.38% | trade_ret:0.56% | eps:0.0010 | t_time:2011-03-16 12:05:00-04:00 | idx:23550
r_time:06:26:47 21.08.2022 | Trade:076 | pos:1 | len:57 | approx_cum_ret:4.45% | trade_ret:1.07% | eps:0.0010 | t_time:2011-03-17 10:25:00-04:00 | idx:23608
r_time:06:30:30 21.08.2022 | Trade:077 | pos:-1 | len:38 | approx_cum_ret:4.92% | trade_ret:0.47% | eps:0.0010 | t_time:2011-03-17 13:40:00-04:00 | idx:23647
r_time:06:33:18 21.08.2022 | Trade:078 | pos:1 | len:27 | approx_cum_ret:5.16% | trade_ret:0.24% | eps:0.0010 | t_time:2011-03-17 16:00:00-04:00 | idx:23675
r_time:06:37:51 21.08.2022 | Trade:079 | pos:-1 | len:44 | approx_cum_ret:4.35% | trade_ret:-0.81% | eps:0.0010 | t_time:2011-03-18 13:15:00-04:00 | idx:23720
r_time:06:42:08 21.08.2022 | Trade:080 | pos:1 | len:42 | approx_cum_ret:5.58% | trade_ret:1.22% | eps:0.0010 | t_time:2011-03-21 10:20:00-04:00 | idx:23763
----saving weights, trade logs and replay buffer-----
r_time:06:42:42 21.08.2022 | Trade:081 | pos:-1 | len:5 | approx_cum_ret:5.68% | trade_ret:0.10% | eps:0.0010 | t_time:2011-03-21 10:50:00-04:00 | idx:23769
r_time:06:42:59 21.08.2022 | Trade:082 | pos:-1 | len:2 | approx_cum_ret:5.70% | trade_ret:0.02% | eps:0.0010 | t_time:2011-03-21 11:05:00-04:00 | idx:23772
