r_time:14:38:31 01.08.2022 | Trade:074 | pos:-1 | len:16 | approx_cum_ret:5.22% | trade_ret:0.22% | eps:0.0010 | t_time:2010-05-18 11:35:00-04:00 | idx:7278
r_time:14:38:58 01.08.2022 | Trade:075 | pos:-1 | len:3 | approx_cum_ret:5.80% | trade_ret:0.59% | eps:0.0010 | t_time:2010-05-18 11:55:00-04:00 | idx:7282
r_time:14:39:58 01.08.2022 | Trade:076 | pos:1 | len:10 | approx_cum_ret:5.89% | trade_ret:0.08% | eps:0.0010 | t_time:2010-05-18 12:50:00-04:00 | idx:7293
r_time:14:47:49 01.08.2022 | Trade:077 | pos:-1 | len:73 | approx_cum_ret:8.43% | trade_ret:2.54% | eps:0.0010 | t_time:2010-05-19 12:30:00-04:00 | idx:7367
r_time:14:56:51 01.08.2022 | Trade:078 | pos:-1 | len:85 | approx_cum_ret:11.42% | trade_ret:2.99% | eps:0.0010 | t_time:2010-05-20 13:10:00-04:00 | idx:7453
r_time:14:57:57 01.08.2022 | Trade:079 | pos:1 | len:9 | approx_cum_ret:12.04% | trade_ret:0.62% | eps:0.0010 | t_time:2010-05-20 14:00:00-04:00 | idx:7463
r_time:14:58:51 01.08.2022 | Trade:080 | pos:-1 | len:8 | approx_cum_ret:11.36% | trade_ret:-0.68% | eps:0.0010 | t_time:2010-05-20 14:45:00-04:00 | idx:7472
----saving weights, trade logs and replay buffer-----
r_time:15:01:33 01.08.2022 | Trade:081 | pos:-1 | len:22 | approx_cum_ret:12.75% | trade_ret:1.39% | eps:0.0010 | t_time:2010-05-21 10:10:00-04:00 | idx:7495
r_time:15:01:55 01.08.2022 | Trade:082 | pos:1 | len:2 | approx_cum_ret:12.41% | trade_ret:-0.33% | eps:0.0010 | t_time:2010-05-21 10:25:00-04:00 | idx:7498
r_time:15:03:30 01.08.2022 | Trade:083 | pos:-1 | len:12 | approx_cum_ret:11.09% | trade_ret:-1.32% | eps:0.0010 | t_time:2010-05-21 11:30:00-04:00 | idx:7511
r_time:15:07:44 01.08.2022 | Trade:084 | pos:-1 | len:41 | approx_cum_ret:11.90% | trade_ret:0.81% | eps:0.0010 | t_time:2010-05-21 15:00:00-04:00 | idx:7553
r_time:15:09:25 01.08.2022 | Trade:085 | pos:1 | len:14 | approx_cum_ret:12.54% | trade_ret:0.64% | eps:0.0010 | t_time:2010-05-24 09:45:00-04:00 | idx:7568
r_time:15:12:25 01.08.2022 | Trade:086 | pos:-1 | len:26 | approx_cum_ret:11.87% | trade_ret:-0.67% | eps:0.0010 | t_time:2010-05-24 12:00:00-04:00 | idx:7595
r_time:15:12:53 01.08.2022 | Trade:087 | pos:1 | len:3 | approx_cum_ret:12.04% | trade_ret:0.17% | eps:0.0010 | t_time:2010-05-24 12:20:00-04:00 | idx:7599
r_time:15:14:07 01.08.2022 | Trade:088 | pos:-1 | len:10 | approx_cum_ret:12.12% | trade_ret:0.07% | eps:0.0010 | t_time:2010-05-24 13:15:00-04:00 | idx:7610
r_time:15:15:02 01.08.2022 | Trade:089 | pos:-1 | len:8 | approx_cum_ret:12.47% | trade_ret:0.36% | eps:0.0010 | t_time:2010-05-24 14:00:00-04:00 | idx:7619
r_time:15:16:22 01.08.2022 | Trade:090 | pos:1 | len:11 | approx_cum_ret:12.36% | trade_ret:-0.11% | eps:0.0010 | t_time:2010-05-24 15:00:00-04:00 | idx:7631
----saving weights, trade logs and replay buffer-----
r_time:15:18:46 01.08.2022 | Trade:091 | pos:-1 | len:19 | approx_cum_ret:14.89% | trade_ret:2.52% | eps:0.0010 | t_time:2010-05-25 10:10:00-04:00 | idx:7651
r_time:15:19:43 01.08.2022 | Trade:092 | pos:1 | len:7 | approx_cum_ret:14.71% | trade_ret:-0.18% | eps:0.0010 | t_time:2010-05-25 10:50:00-04:00 | idx:7659
r_time:15:20:48 01.08.2022 | Trade:093 | pos:1 | len:9 | approx_cum_ret:15.06% | trade_ret:0.35% | eps:0.0010 | t_time:2010-05-25 11:40:00-04:00 | idx:7669
r_time:15:24:24 01.08.2022 | Trade:094 | pos:-1 | len:36 | approx_cum_ret:14.64% | trade_ret:-0.42% | eps:0.0010 | t_time:2010-05-25 14:45:00-04:00 | idx:7706
r_time:15:30:48 01.08.2022 | Trade:095 | pos:-1 | len:56 | approx_cum_ret:12.42% | trade_ret:-2.23% | eps:0.0010 | t_time:2010-05-26 13:00:00-04:00 | idx:7763
r_time:15:31:04 01.08.2022 | Trade:096 | pos:-1 | len:2 | approx_cum_ret:12.38% | trade_ret:-0.04% | eps:0.0010 | t_time:2010-05-26 13:15:00-04:00 | idx:7766
r_time:15:32:58 01.08.2022 | Trade:097 | pos:1 | len:16 | approx_cum_ret:12.06% | trade_ret:-0.32% | eps:0.0010 | t_time:2010-05-26 14:40:00-04:00 | idx:7783
r_time:15:43:42 01.08.2022 | Trade:098 | pos:1 | len:87 | approx_cum_ret:13.53% | trade_ret:1.48% | eps:0.0010 | t_time:2010-05-27 15:30:00-04:00 | idx:7871
r_time:15:44:00 01.08.2022 | Trade:099 | pos:1 | len:2 | approx_cum_ret:13.69% | trade_ret:0.16% | eps:0.0010 | t_time:2010-05-27 15:45:00-04:00 | idx:7874
r_time:15:44:36 01.08.2022 | Trade:100 | pos:-1 | len:5 | approx_cum_ret:13.66% | trade_ret:-0.03% | eps:0.0010 | t_time:2010-05-28 09:45:00-04:00 | idx:7880
----saving weights, trade logs and replay buffer-----
r_time:15:45:05 01.08.2022 | Trade:101 | pos:-1 | len:4 | approx_cum_ret:13.33% | trade_ret:-0.34% | eps:0.0010 | t_time:2010-05-28 10:10:00-04:00 | idx:7885
r_time:16:07:56 01.08.2022 | Trade:102 | pos:1 | len:204 | approx_cum_ret:11.80% | trade_ret:-1.53% | eps:0.0010 | t_time:2010-06-02 14:15:00-04:00 | idx:8090
r_time:16:33:08 01.08.2022 | Trade:103 | pos:1 | len:233 | approx_cum_ret:9.99% | trade_ret:-1.81% | eps:0.0010 | t_time:2010-06-07 14:15:00-04:00 | idx:8324
r_time:16:34:07 01.08.2022 | Trade:104 | pos:-1 | len:8 | approx_cum_ret:10.42% | trade_ret:0.43% | eps:0.0010 | t_time:2010-06-07 15:00:00-04:00 | idx:8333
r_time:16:43:41 01.08.2022 | Trade:105 | pos:1 | len:88 | approx_cum_ret:10.54% | trade_ret:0.12% | eps:0.0010 | t_time:2010-06-08 15:55:00-04:00 | idx:8422
